Last login: Thu Feb  8 11:15:29 on ttys000
Shivams-MacBook-Pro:~ shivamkumar$ ps -ef
  UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0  1:55PM ??         2:26.05 /sbin/launchd
    0    62     1   0  1:55PM ??         0:16.66 /usr/sbin/syslogd
    0    63     1   0  1:55PM ??         0:08.48 /usr/libexec/UserEventAgent (System)
    0    66     1   0  1:55PM ??         0:01.29 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
    0    67     1   0  1:55PM ??         0:08.21 /usr/libexec/kextd
    0    68     1   0  1:55PM ??         0:26.95 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0    70     1   0  1:55PM ??         0:06.00 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0    71     1   0  1:55PM ??         0:00.06 /Library/PrivilegedHelperTools/me.hide.osxhelper
    0    72     1   0  1:55PM ??         0:00.04 /Library/Frameworks/PrivateTunnel.framework/Versions/Current/usr/sbin/ovpnagent
   55    74     1   0  1:55PM ??         0:00.98 /System/Library/CoreServices/appleeventsd --server
    0    75     1   0  1:55PM ??         0:06.57 /usr/sbin/systemstats --daemon
    0    77     1   0  1:55PM ??         0:07.11 /usr/libexec/configd
    0    78     1   0  1:55PM ??         0:15.02 /System/Library/CoreServices/powerd.bundle/powerd
    0    81     1   0  1:55PM ??         0:18.20 /usr/libexec/logd
    0    82     1   0  1:55PM ??         0:00.03 /usr/libexec/keybagd -t 15
    0    87     1   0  1:55PM ??         0:00.96 /usr/libexec/warmd
  240    89     1   0  1:55PM ??         0:00.10 /System/Library/CoreServices/iconservicesd
    0    90     1   0  1:55PM ??         0:00.12 /System/Library/CoreServices/iconservicesagent
    0    91     1   0  1:55PM ??         0:10.99 /usr/libexec/diskarbitrationd
    0    95     1   0  1:55PM ??         0:00.66 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
    0    96     1   0  1:55PM ??         0:12.07 /usr/libexec/coreduetd
